id	name	desc	url	type	P400
45422	Samurai Bringer	2022 PC video game	https://www.famitsu.com/games/t/45422/	Q7889	Q1406
45423	Samurai Bringer	2022 PS4 video game	https://www.famitsu.com/games/t/45423/	Q7889	Q5014725
45424	Samurai Bringer	2022 Switch video game	https://www.famitsu.com/games/t/45424/	Q7889	Q19610114
45425	Takkoman -Kouzatsu World-	PC video game	https://www.famitsu.com/games/t/45425/	Q7889	Q1406
45426	くちなしアンプル	2022 Switch video game	https://www.famitsu.com/games/t/45426/	Q7889	Q19610114
45427	くちなしアンプル	2022 XSX video game	https://www.famitsu.com/games/t/45427/	Q7889	Q98973368
45428	くちなしアンプル	2022 XOne video game	https://www.famitsu.com/games/t/45428/	Q7889	Q13361286
45429	くちなしアンプル	2022 PS4 video game	https://www.famitsu.com/games/t/45429/	Q7889	Q5014725
45430	黄昏ニ眠ル街	2022 PS4 video game	https://www.famitsu.com/games/t/45430/	Q7889	Q5014725
45431	黄昏ニ眠ル街	2022 Switch video game	https://www.famitsu.com/games/t/45431/	Q7889	Q19610114
45436	遊んで麻雀が強くなる！銀星麻雀DX	2022 Switch video game	https://www.famitsu.com/games/t/45436/	Q7889	Q19610114
45437	カンニバルクッキング	2022 PS4 video game	https://www.famitsu.com/games/t/45437/	Q7889	Q5014725
45438	カンニバルクッキング	2022 PS5 video game	https://www.famitsu.com/games/t/45438/	Q7889	Q63184502
45439	Chernobylite	2022 PS4 video game	https://www.famitsu.com/games/t/45439/	Q7889	Q5014725
45440	Chernobylite	2022 XSX video game	https://www.famitsu.com/games/t/45440/	Q7889	Q98973368
45441	Chernobylite	2022 XOne video game	https://www.famitsu.com/games/t/45441/	Q7889	Q13361286
45468	Super Sami Roll	2022 PS5 video game	https://www.famitsu.com/games/t/45468/	Q7889	Q63184502
45469	Super Sami Roll	2022 Switch video game	https://www.famitsu.com/games/t/45469/	Q7889	Q19610114
45470	Super Sami Roll	2022 XOne video game	https://www.famitsu.com/games/t/45470/	Q7889	Q13361286
45471	Super Sami Roll	2022 XSX video game	https://www.famitsu.com/games/t/45471/	Q7889	Q98973368
45482	僕の彼女は人魚姫！？Refine My Girlfriend is a Mermaid!?	2022 PS4 video game	https://www.famitsu.com/games/t/45482/	Q7889	Q5014725
45483	狐が僕を待っているThe Fox Awaits Me	2022 PS4 video game	https://www.famitsu.com/games/t/45483/	Q7889	Q5014725
45485	インディゴ7	2022 Switch video game	https://www.famitsu.com/games/t/45485/	Q7889	Q19610114
45493	NOSTALGIC TRAIN	2022 XOne video game	https://www.famitsu.com/games/t/45493/	Q7889	Q13361286
